"Curso";"Unidade Curricular";"Turno";"Turma";"Inscritos no turno";"Dia da semana";"Hora início da aula";"Hora fim da aula";"Data da aula";"Sala atribuída à aula";"Lotação da sala"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Sex";"13:00:00";"14:30:00";"21/9/2022";"C5.01";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"28/9/2022";"1E08";"0"
"";"Visualização e Interação Pessoa";"03738T02";"";"0";"Seg";"14:30:00";"16:00:00";"3/9/2022";"C5.06";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Ter";"13:00:00";"14:30:00";"2/4/2023";"AA2.29";"0"
"";"Arquitetura de Redes ";"03708TP11";"";"0";"Ter";"14:30:00";"16:00:00";"22/10/2022";"1E04";"0"
"";"Arquitetura de Redes ";"03708TP11";"";"0";"Ter";"14:30:00";"16:00:00";"18/9/2022";"1E04";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Sex";"13:00:00";"14:30:00";"17/1/2023";"AA2.29";"0"
"";"Arquitetura de Redes ";"03708T04";"";"0";"Seg";"16:00:00";"17:30:00";"26/8/2022";"Auditório B2.04";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"16:00:00";"17:30:00";"21/3/2023";"0S08";"0"
"";"Segurança em Sistemas de Informação ";"SSIT01";"";"0";"Ter";"16:00:00";"17:30:00";"14/1/2023";"Auditório Afonso de Barros";"0"
"";"Inteligência Artificial ";"L0731PL07";"";"0";"Qua";"14:30:00";"16:00:00";"17/4/2023";"2E07";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"14:30:00";"16:00:00";"14/3/2023";"0S01";"0"
"";"Arquitetura de Redes ";"03708TP11";"";"0";"Ter";"14:30:00";"16:00:00";"20/8/2022";"1E04";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Sex";"13:00:00";"14:30:00";"28/3/2023";"AA2.29";"0"
"";"Arquitetura de Redes ";"03708PL13";"";"0";"Qua";"11:00:00";"12:30:00";"14/11/2022";"C7.09";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Qua";"16:00:00";"17:30:00";"14/11/2022";"2E04";"0"
"";"Segurança em Sistemas de Informação ";"SSITP02";"";"0";"Ter";"16:00:00";"17:30:00";"23/4/2023";"Auditório Silva Leal";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Ter";"11:00:00";"12:30:00";"6/11/2022";"0S02";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Sex";"13:00:00";"14:30:00";"14/9/2022";"C5.01";"0"
